ID client,Nom,Edat,Gènere,Perfil de viatge,Preferències comercials,Interacció habitual,Historial d’usos
2626,Celestino Báez,26,M,Altres,Moda,Ignora promocions,"3 consultes a restaurants, 4 consultes a botigues"
2627,Angélica Ropero,23,F,Altres,Perfumeria,Només consulta horaris i ubicacions,"4 consultes a vehicles, 4 consultes a llibres, 2 consultes a botigues"
2628,Norberto Ayllón,34,M,Negocis,"Moda, Productes naturals",Accepta ofertes de menjar,1 consulta a restaurants
2629,Sara Tovar,39,F,Turisme,Cuina ràpida,Respon a ofertes de llibres,3 consultes a cafeteries
2630,Yaiza Goicoechea,20,F,Turisme,Cafeteria,Respon a ofertes de llibres,"3 consultes a vehicles, 2 consultes a cafeteries"
2631,Desiderio Estévez,31,M,Negocis,"Productes naturals, Perfumeria",Respon a ofertes de llibres,"2 consultes a restaurants, 1 consulta a vehicles, 4 consultes a llibres"
2632,Juan Lluch,33,M,Família,Productes naturals,Segueix suggeriments personalitzats,"3 consultes a botigues, 4 consultes a restaurants"
2633,Gloria Barbero,67,F,Turisme,Cuina italiana,Accepta ofertes de menjar,"2 consultes a restaurants, 4 consultes a vehicles"
2634,Carmelita Ayuso,21,F,Altres,Cafeteria,Respon a ofertes de llibres,"2 consultes a llibres, 3 consultes a cafeteries"
2635,Edu Canet,38,M,Altres,"Perfumeria, Moda",Respon a ofertes de llibres,1 consulta a vehicles
2636,Felipe Alcázar,44,M,Família,"Cafeteria, Premsa i llibres, Moda",Només consulta horaris i ubicacions,"2 consultes a cafeteries, 5 consultes a llibres"
2637,Gerónimo Manso,55,M,Turisme,"Mediterrània, Cuina ràpida, Perfumeria",Segueix suggeriments personalitzats,"4 consultes a vehicles, 2 consultes a llibres, 1 consulta a botigues"
2638,Albert Miró,47,M,Família,"Moda, Productes naturals, Mediterrània",Respon a ofertes de llibres,"2 consultes a vehicles, 2 consultes a restaurants"
2639,Martirio Mármol,35,F,Altres,"Perfumeria, Premsa i llibres, Productes naturals",Respon a ofertes de llibres,"1 consulta a cafeteries, 5 consultes a llibres"
2640,Benigno Godoy,39,M,Altres,"Cuina ràpida, Cuina italiana, Moda",Accepta ofertes de menjar,"4 consultes a restaurants, 2 consultes a vehicles, 5 consultes a llibres"
2641,Maximiliano Jordá,43,M,Família,Mediterrània,Ignora promocions,2 consultes a llibres
2642,Fernanda Tamarit,64,F,Altres,Perfumeria,Només consulta horaris i ubicacions,"5 consultes a llibres, 3 consultes a cafeteries, 3 consultes a botigues"
2643,Paca Coloma,22,F,Turisme,"Cafeteria, Cuina ràpida",Respon a ofertes de llibres,3 consultes a botigues
2644,Vilma Blasco,44,F,Família,Moda,Només consulta horaris i ubicacions,5 consultes a llibres
2645,Jose Luis Elorza,37,M,Turisme,Mediterrània,Ignora promocions,3 consultes a cafeteries
2646,Encarnacion Abellán,44,F,Família,"Mediterrània, Cuina ràpida",Respon a ofertes de llibres,"3 consultes a cafeteries, 5 consultes a restaurants, 3 consultes a llibres"
2647,Gaspar Aguilera,64,M,Negocis,Mediterrània,Respon a ofertes de llibres,"3 consultes a vehicles, 4 consultes a llibres, 2 consultes a cafeteries"
2648,Mateo Sandoval,18,M,Altres,"Productes naturals, Premsa i llibres, Mediterrània",Només consulta horaris i ubicacions,"4 consultes a cafeteries, 5 consultes a vehicles"
2649,Maribel Benítez,39,F,Turisme,"Cafeteria, Moda, Productes naturals",Segueix suggeriments personalitzats,"5 consultes a vehicles, 5 consultes a restaurants"
2650,Marciano Cabanillas,69,M,Negocis,"Cafeteria, Moda, Perfumeria",Només consulta horaris i ubicacions,"4 consultes a vehicles, 2 consultes a cafeteries, 4 consultes a restaurants"
2651,Lope Barrena,75,M,Família,"Cuina ràpida, Productes naturals",Segueix suggeriments personalitzats,1 consulta a vehicles
2652,Isidora Costa,63,F,Família,Cuina italiana,Respon a ofertes de llibres,"4 consultes a vehicles, 3 consultes a restaurants, 5 consultes a cafeteries"
2653,Jenny Jaén,65,F,Altres,Cafeteria,Accepta ofertes de menjar,3 consultes a restaurants
2654,Ignacia Aparicio,50,F,Negocis,Cuina ràpida,Respon a ofertes de llibres,3 consultes a botigues
2655,Fermín Hervia,42,M,Turisme,Productes naturals,Ignora promocions,"3 consultes a vehicles, 1 consulta a botigues, 4 consultes a restaurants"
2656,Victoria Sotelo,67,F,Altres,Cuina italiana,Accepta ofertes de menjar,"2 consultes a restaurants, 1 consulta a cafeteries"
2657,Román Bermudez,23,M,Família,Mediterrània,Ignora promocions,"4 consultes a restaurants, 3 consultes a llibres, 4 consultes a botigues"
2658,María Fernanda Almeida,38,F,Altres,"Cuina ràpida, Moda",Només consulta horaris i ubicacions,4 consultes a llibres
2659,Áurea Prado,37,F,Negocis,Premsa i llibres,Segueix suggeriments personalitzats,"1 consulta a vehicles, 1 consulta a cafeteries, 2 consultes a restaurants"
2660,Remedios Ribas,38,F,Turisme,"Cuina ràpida, Cuina italiana, Productes naturals",Només consulta horaris i ubicacions,4 consultes a cafeteries
2661,Pánfilo Tello,39,M,Turisme,"Cuina italiana, Premsa i llibres",Només consulta horaris i ubicacions,"5 consultes a vehicles, 5 consultes a llibres"
2662,Paco Maestre,50,M,Altres,"Cuina italiana, Productes naturals",Respon a ofertes de llibres,"2 consultes a restaurants, 4 consultes a cafeteries, 4 consultes a botigues"
2663,Chita Oller,24,F,Negocis,"Cuina italiana, Mediterrània, Premsa i llibres",Respon a ofertes de llibres,"3 consultes a vehicles, 4 consultes a botigues"
2664,Godofredo Román,25,M,Família,"Premsa i llibres, Cuina italiana, Productes naturals",Accepta ofertes de menjar,4 consultes a vehicles
2665,Jonatan Mendizábal,30,M,Turisme,Productes naturals,Segueix suggeriments personalitzats,"3 consultes a restaurants, 1 consulta a vehicles, 3 consultes a botigues"
2666,Isidora Piña,53,F,Negocis,"Premsa i llibres, Cuina italiana, Productes naturals",Només consulta horaris i ubicacions,"2 consultes a botigues, 5 consultes a vehicles, 2 consultes a cafeteries"
2667,Elpidio Alcalde,59,M,Família,"Cuina italiana, Perfumeria",Segueix suggeriments personalitzats,"5 consultes a vehicles, 4 consultes a restaurants, 4 consultes a botigues"
2668,Jordana Gisbert,53,F,Negocis,Cuina ràpida,Segueix suggeriments personalitzats,"1 consulta a botigues, 4 consultes a vehicles"
2669,Antonio Gutierrez,61,M,Altres,Cafeteria,Ignora promocions,"2 consultes a restaurants, 1 consulta a botigues"
2670,Máximo Peiró,49,M,Negocis,Cafeteria,Respon a ofertes de llibres,"5 consultes a llibres, 2 consultes a restaurants, 5 consultes a botigues"
2671,Azahara Merino,27,F,Turisme,"Cafeteria, Cuina italiana",Respon a ofertes de llibres,"5 consultes a llibres, 3 consultes a restaurants"
2672,Santos Leal,28,M,Família,"Perfumeria, Cuina ràpida, Moda",Segueix suggeriments personalitzats,"2 consultes a vehicles, 3 consultes a llibres"
2673,Brígida Iborra,44,F,Família,"Cafeteria, Moda, Productes naturals",Segueix suggeriments personalitzats,4 consultes a cafeteries
2674,Chus Ballesteros,45,M,Família,"Moda, Cuina italiana, Mediterrània",Segueix suggeriments personalitzats,1 consulta a vehicles
2675,África Casanova,44,F,Negocis,"Premsa i llibres, Mediterrània, Perfumeria",Només consulta horaris i ubicacions,2 consultes a vehicles
2676,Dionisio Pujol,29,M,Negocis,"Premsa i llibres, Mediterrània, Productes naturals",Accepta ofertes de menjar,"2 consultes a vehicles, 3 consultes a restaurants, 2 consultes a cafeteries"
2677,Toño Salmerón,59,M,Altres,"Premsa i llibres, Cuina ràpida",Respon a ofertes de llibres,2 consultes a llibres
2678,Violeta Cabeza,44,F,Turisme,Perfumeria,Respon a ofertes de llibres,"1 consulta a llibres, 4 consultes a vehicles"
2679,Felix Valverde,64,M,Turisme,"Moda, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a restaurants, 2 consultes a botigues"
2680,Elba Escrivá,72,F,Turisme,Mediterrània,Segueix suggeriments personalitzats,2 consultes a cafeteries
2681,Amor Durán,47,M,Turisme,"Perfumeria, Cuina ràpida",Respon a ofertes de llibres,"2 consultes a llibres, 3 consultes a restaurants"
2682,Ignacio Soto,73,M,Altres,Mediterrània,Només consulta horaris i ubicacions,"1 consulta a cafeteries, 1 consulta a llibres, 3 consultes a restaurants"
2683,Eleuterio Corral,26,M,Turisme,"Moda, Premsa i llibres",Ignora promocions,4 consultes a restaurants
2684,Clotilde Yáñez,26,F,Altres,Premsa i llibres,Respon a ofertes de llibres,4 consultes a llibres
2685,Mayte Almazán,55,F,Família,"Cuina ràpida, Cuina italiana, Moda",Segueix suggeriments personalitzats,"4 consultes a vehicles, 2 consultes a botigues, 1 consulta a restaurants"
2686,Baldomero Baena,68,M,Negocis,"Perfumeria, Mediterrània, Moda",Segueix suggeriments personalitzats,"2 consultes a botigues, 1 consulta a cafeteries, 2 consultes a llibres"
2687,Aurelia Amor,29,F,Negocis,"Mediterrània, Cuina ràpida",Només consulta horaris i ubicacions,"4 consultes a vehicles, 5 consultes a llibres"
2688,Fabiola Galindo,32,F,Negocis,"Mediterrània, Cuina italiana, Premsa i llibres",Només consulta horaris i ubicacions,3 consultes a restaurants
2689,Régulo Suárez,53,M,Família,"Productes naturals, Premsa i llibres",Només consulta horaris i ubicacions,"1 consulta a cafeteries, 3 consultes a restaurants, 5 consultes a botigues"
2690,Jose Ignacio Gracia,61,M,Negocis,Cuina italiana,Ignora promocions,1 consulta a cafeteries
2691,Saturnina Mora,54,F,Família,Mediterrània,Només consulta horaris i ubicacions,"2 consultes a cafeteries, 5 consultes a llibres"
2692,Eligio Pinilla,71,M,Turisme,"Cuina italiana, Moda, Cafeteria",Respon a ofertes de llibres,3 consultes a cafeteries
2693,Itziar Cifuentes,61,F,Negocis,"Cafeteria, Perfumeria",Respon a ofertes de llibres,"5 consultes a botigues, 5 consultes a cafeteries"
2694,Silvestre Páez,41,M,Turisme,"Moda, Cuina italiana",Només consulta horaris i ubicacions,"5 consultes a restaurants, 5 consultes a botigues, 1 consulta a llibres"
2695,Omar Villa,41,M,Família,"Moda, Mediterrània",Només consulta horaris i ubicacions,"1 consulta a botigues, 3 consultes a llibres, 5 consultes a restaurants"
2696,Rosaura Carretero,22,F,Turisme,"Cuina italiana, Mediterrània",Ignora promocions,5 consultes a llibres
2697,Gema Aragonés,48,F,Família,"Moda, Mediterrània",Segueix suggeriments personalitzats,"3 consultes a botigues, 2 consultes a vehicles, 1 consulta a llibres"
2698,Julia Cañellas,28,F,Turisme,"Premsa i llibres, Cafeteria",Ignora promocions,3 consultes a llibres
2699,Macarena Báez,51,F,Altres,"Perfumeria, Productes naturals, Cafeteria",Respon a ofertes de llibres,"1 consulta a llibres, 2 consultes a cafeteries, 1 consulta a vehicles"
2700,Fausto Díez,26,M,Negocis,Productes naturals,Només consulta horaris i ubicacions,1 consulta a cafeteries
2701,Faustino Guillén,64,M,Família,Cuina italiana,Ignora promocions,4 consultes a restaurants
2702,Brígida Pol,34,F,Turisme,"Premsa i llibres, Mediterrània, Productes naturals",Segueix suggeriments personalitzats,4 consultes a vehicles
2703,Lourdes Mayoral,47,F,Família,Premsa i llibres,Respon a ofertes de llibres,"3 consultes a llibres, 1 consulta a botigues, 5 consultes a cafeteries"
2704,Che Casanovas,30,M,Família,"Premsa i llibres, Mediterrània, Moda",Accepta ofertes de menjar,5 consultes a cafeteries
2705,Octavia Bernat,23,F,Turisme,"Premsa i llibres, Cuina ràpida",Respon a ofertes de llibres,"4 consultes a vehicles, 1 consulta a cafeteries, 3 consultes a restaurants"
2706,Ana Peñas,63,F,Turisme,Cuina ràpida,Accepta ofertes de menjar,"1 consulta a botigues, 5 consultes a restaurants, 4 consultes a vehicles"
2707,Marcia Mur,74,F,Turisme,"Cuina italiana, Premsa i llibres",Respon a ofertes de llibres,"4 consultes a vehicles, 3 consultes a cafeteries"
2708,Catalina Pagès,46,F,Altres,"Cafeteria, Cuina italiana, Moda",Accepta ofertes de menjar,1 consulta a restaurants
2709,Adelardo Arteaga,35,M,Família,Mediterrània,Respon a ofertes de llibres,"5 consultes a vehicles, 2 consultes a llibres"
2710,Bernabé Carnero,68,M,Família,Cafeteria,Accepta ofertes de menjar,5 consultes a vehicles
2711,Paco Izaguirre,61,M,Família,"Mediterrània, Moda, Cuina italiana",Ignora promocions,"1 consulta a cafeteries, 2 consultes a vehicles, 3 consultes a botigues"
2712,Chita Calzada,65,F,Turisme,"Moda, Cuina italiana",Ignora promocions,"3 consultes a botigues, 5 consultes a restaurants, 1 consulta a cafeteries"
2713,Luna Almeida,39,F,Turisme,"Perfumeria, Cuina ràpida, Cafeteria",Accepta ofertes de menjar,2 consultes a llibres
2714,Prudencio Bauzà,70,M,Negocis,Cafeteria,Només consulta horaris i ubicacions,"1 consulta a vehicles, 5 consultes a cafeteries"
2715,Olimpia Borrego,34,F,Turisme,"Productes naturals, Cuina italiana",Segueix suggeriments personalitzats,"4 consultes a botigues, 5 consultes a cafeteries, 3 consultes a restaurants"
2716,Eufemia Menendez,32,F,Negocis,"Cuina ràpida, Cafeteria, Moda",Accepta ofertes de menjar,"1 consulta a vehicles, 4 consultes a restaurants"
2717,Celso Carrión,52,M,Altres,Premsa i llibres,Accepta ofertes de menjar,"2 consultes a cafeteries, 3 consultes a llibres, 5 consultes a botigues"
2718,Anunciación Izaguirre,40,F,Altres,Premsa i llibres,Segueix suggeriments personalitzats,5 consultes a cafeteries
2719,Amelia Font,47,F,Negocis,"Cuina italiana, Moda",Respon a ofertes de llibres,"3 consultes a llibres, 4 consultes a cafeteries, 5 consultes a botigues"
2720,Ambrosio Domínguez,46,M,Turisme,"Cuina italiana, Perfumeria, Productes naturals",Accepta ofertes de menjar,"2 consultes a cafeteries, 1 consulta a botigues, 2 consultes a llibres"
2721,Amada Moreno,32,F,Família,"Mediterrània, Cafeteria",Només consulta horaris i ubicacions,2 consultes a vehicles
2722,Victor Manuel Martinez,44,M,Altres,"Perfumeria, Cafeteria",Ignora promocions,3 consultes a llibres
2723,Octavia Losa,31,F,Turisme,Mediterrània,Respon a ofertes de llibres,"3 consultes a cafeteries, 1 consulta a llibres"
2724,Apolonia Querol,41,F,Turisme,Moda,Ignora promocions,"4 consultes a restaurants, 2 consultes a botigues, 5 consultes a llibres"
2725,Goyo Huertas,67,M,Turisme,Perfumeria,Només consulta horaris i ubicacions,"4 consultes a llibres, 1 consulta a cafeteries, 3 consultes a vehicles"
2726,Purificación Báez,50,F,Altres,"Perfumeria, Cuina italiana, Productes naturals",Ignora promocions,"1 consulta a cafeteries, 2 consultes a botigues, 4 consultes a restaurants"
2727,Vera Cañellas,57,F,Família,"Premsa i llibres, Cuina ràpida, Perfumeria",Respon a ofertes de llibres,2 consultes a restaurants
2728,Silvia Carlos,33,F,Turisme,Premsa i llibres,Segueix suggeriments personalitzats,1 consulta a restaurants
2729,Alcides Páez,39,M,Negocis,"Mediterrània, Cafeteria",Només consulta horaris i ubicacions,1 consulta a llibres
2730,Duilio Reyes,67,M,Negocis,"Cuina ràpida, Moda, Cafeteria",Accepta ofertes de menjar,"2 consultes a vehicles, 5 consultes a llibres, 2 consultes a restaurants"
2731,Venceslás Solé,71,M,Negocis,"Cuina ràpida, Cafeteria, Mediterrània",Segueix suggeriments personalitzats,"2 consultes a vehicles, 2 consultes a cafeteries, 3 consultes a botigues"
2732,Adolfo Ibáñez,43,M,Negocis,Cuina italiana,Accepta ofertes de menjar,"1 consulta a restaurants, 2 consultes a llibres, 4 consultes a botigues"
2733,Vasco Salazar,75,M,Negocis,Cafeteria,Només consulta horaris i ubicacions,5 consultes a restaurants
2734,Almudena Vives,26,F,Altres,"Cuina ràpida, Perfumeria, Cuina italiana",Segueix suggeriments personalitzats,"5 consultes a botigues, 2 consultes a vehicles"
2735,Mayte Alcántara,25,F,Altres,"Productes naturals, Mediterrània, Cuina ràpida",Només consulta horaris i ubicacions,"2 consultes a botigues, 2 consultes a restaurants, 1 consulta a cafeteries"
2736,Maximiano Villanueva,75,M,Família,Moda,Segueix suggeriments personalitzats,1 consulta a vehicles
2737,María Teresa Matas,33,F,Negocis,Moda,Accepta ofertes de menjar,"5 consultes a cafeteries, 4 consultes a vehicles"
2738,Eliseo Villalobos,47,M,Negocis,Moda,Només consulta horaris i ubicacions,5 consultes a vehicles
2739,Armando Duque,28,M,Negocis,"Perfumeria, Cuina ràpida, Productes naturals",Respon a ofertes de llibres,"4 consultes a cafeteries, 5 consultes a llibres"
2740,Ramón Domingo,32,M,Negocis,"Cuina italiana, Productes naturals, Premsa i llibres",Ignora promocions,"1 consulta a restaurants, 5 consultes a cafeteries, 2 consultes a llibres"
2741,Sol Navas,60,F,Família,Moda,Només consulta horaris i ubicacions,"3 consultes a cafeteries, 3 consultes a restaurants"
2742,Florina Quintanilla,34,F,Turisme,Cuina ràpida,Segueix suggeriments personalitzats,"1 consulta a botigues, 4 consultes a cafeteries"
2743,Elías Campoy,38,M,Altres,"Cafeteria, Mediterrània, Perfumeria",Només consulta horaris i ubicacions,"3 consultes a vehicles, 4 consultes a botigues, 4 consultes a cafeteries"
2744,Guillermo Carvajal,47,M,Negocis,"Productes naturals, Premsa i llibres, Perfumeria",Accepta ofertes de menjar,"3 consultes a vehicles, 2 consultes a llibres, 3 consultes a restaurants"
2745,Bartolomé Botella,55,M,Família,"Productes naturals, Cuina italiana, Cuina ràpida",Respon a ofertes de llibres,"3 consultes a vehicles, 5 consultes a llibres, 5 consultes a restaurants"
2746,Dani Ballesteros,53,M,Turisme,Cuina italiana,Segueix suggeriments personalitzats,2 consultes a llibres
2747,Ale Mata,27,F,Turisme,"Cuina italiana, Cuina ràpida",Respon a ofertes de llibres,"3 consultes a restaurants, 3 consultes a vehicles, 2 consultes a llibres"
2748,Paulino Vega,44,M,Altres,"Cuina ràpida, Premsa i llibres",Segueix suggeriments personalitzats,5 consultes a cafeteries
2749,Nidia Pera,56,F,Turisme,"Moda, Cuina italiana, Productes naturals",Segueix suggeriments personalitzats,"4 consultes a botigues, 5 consultes a vehicles, 1 consulta a cafeteries"
2750,Lino Iborra,68,M,Negocis,Cafeteria,Ignora promocions,"1 consulta a vehicles, 5 consultes a restaurants, 3 consultes a botigues"
2751,Nilda Badía,46,F,Turisme,Moda,Ignora promocions,4 consultes a cafeteries
2752,Rosario Carbonell,43,M,Altres,"Cafeteria, Cuina ràpida, Mediterrània",Ignora promocions,"1 consulta a botigues, 1 consulta a restaurants"
2753,Ariel Juárez,39,F,Negocis,"Productes naturals, Cuina italiana",Només consulta horaris i ubicacions,2 consultes a vehicles
2754,Ruperta Dominguez,21,F,Turisme,"Cuina ràpida, Cafeteria",Segueix suggeriments personalitzats,"4 consultes a cafeteries, 5 consultes a llibres"
2755,Heraclio Fortuny,21,M,Altres,Productes naturals,Només consulta horaris i ubicacions,"3 consultes a restaurants, 5 consultes a botigues, 5 consultes a llibres"
2756,Hugo Villaverde,37,M,Altres,Premsa i llibres,Accepta ofertes de menjar,"5 consultes a llibres, 4 consultes a botigues, 1 consulta a cafeteries"
2757,Tecla Quevedo,18,F,Altres,"Cuina ràpida, Cuina italiana",Ignora promocions,1 consulta a botigues
2758,Elisabet Colomer,43,F,Família,"Cuina ràpida, Productes naturals",Segueix suggeriments personalitzats,"3 consultes a restaurants, 1 consulta a llibres"
2759,Georgina Roma,29,F,Negocis,"Cuina italiana, Moda",Segueix suggeriments personalitzats,2 consultes a llibres
2760,Enrique Oliveras,68,M,Família,"Cafeteria, Moda",Respon a ofertes de llibres,"1 consulta a cafeteries, 3 consultes a botigues, 1 consulta a llibres"
2761,Chita Blanco,38,F,Família,Mediterrània,Segueix suggeriments personalitzats,5 consultes a vehicles
2762,Amelia Sáenz,29,F,Altres,"Perfumeria, Cuina ràpida, Mediterrània",Només consulta horaris i ubicacions,"2 consultes a vehicles, 1 consulta a llibres, 5 consultes a restaurants"
2763,Manuela Royo,44,F,Altres,"Mediterrània, Cafeteria, Premsa i llibres",Respon a ofertes de llibres,3 consultes a cafeteries
2764,Artemio Viña,25,M,Turisme,Perfumeria,Segueix suggeriments personalitzats,"2 consultes a cafeteries, 2 consultes a llibres"
2765,Nuria Santamaria,75,F,Turisme,Premsa i llibres,Només consulta horaris i ubicacions,"2 consultes a restaurants, 5 consultes a botigues"
2766,Javier Carrillo,54,M,Altres,"Cuina ràpida, Cafeteria",Accepta ofertes de menjar,"1 consulta a llibres, 3 consultes a vehicles"
2767,Evelia Ariza,74,F,Altres,"Cuina ràpida, Cuina italiana, Productes naturals",Només consulta horaris i ubicacions,"5 consultes a llibres, 2 consultes a restaurants"
2768,Mireia Iniesta,75,F,Negocis,"Premsa i llibres, Productes naturals, Perfumeria",Segueix suggeriments personalitzats,1 consulta a cafeteries
2769,Cruz García,39,M,Altres,Premsa i llibres,Respon a ofertes de llibres,"4 consultes a cafeteries, 2 consultes a restaurants"
2770,Noa Arce,71,F,Altres,"Productes naturals, Cuina italiana, Premsa i llibres",Accepta ofertes de menjar,2 consultes a vehicles
2771,Cayetano Cobos,61,M,Turisme,"Cafeteria, Cuina italiana, Premsa i llibres",Segueix suggeriments personalitzats,"5 consultes a cafeteries, 1 consulta a vehicles"
2772,Plinio Criado,26,M,Família,Cuina italiana,Accepta ofertes de menjar,"4 consultes a llibres, 3 consultes a vehicles"
2773,Amílcar Ríos,70,M,Negocis,"Moda, Premsa i llibres, Cafeteria",Ignora promocions,1 consulta a cafeteries
2774,Adelardo Quintana,27,M,Turisme,Cuina italiana,Segueix suggeriments personalitzats,2 consultes a restaurants
2775,Josefa Chico,30,F,Turisme,"Mediterrània, Premsa i llibres",Segueix suggeriments personalitzats,3 consultes a botigues
2776,Ildefonso Cordero,45,M,Turisme,Productes naturals,Respon a ofertes de llibres,"1 consulta a llibres, 1 consulta a restaurants, 2 consultes a botigues"
2777,Felix Pons,57,M,Família,"Cuina ràpida, Productes naturals, Cuina italiana",Accepta ofertes de menjar,1 consulta a restaurants
2778,Alonso Ballester,19,M,Turisme,"Premsa i llibres, Cafeteria",Accepta ofertes de menjar,"1 consulta a restaurants, 5 consultes a cafeteries, 2 consultes a llibres"
2779,Felipa Colom,36,F,Família,Cuina italiana,Ignora promocions,"3 consultes a cafeteries, 2 consultes a llibres, 3 consultes a restaurants"
2780,Balduino Torrents,26,M,Turisme,"Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,2 consultes a llibres
2781,Wálter Márquez,57,M,Turisme,Perfumeria,Ignora promocions,5 consultes a cafeteries
2782,Cloe Roma,44,F,Altres,"Premsa i llibres, Cuina ràpida",Ignora promocions,"2 consultes a llibres, 3 consultes a botigues"
2783,Juan Santiago,51,M,Família,"Perfumeria, Cuina italiana, Cuina ràpida",Respon a ofertes de llibres,"1 consulta a cafeteries, 4 consultes a llibres"
2784,Eli Tur,54,F,Família,Moda,Respon a ofertes de llibres,"2 consultes a botigues, 1 consulta a llibres"
2785,Florinda Bosch,18,F,Negocis,"Perfumeria, Cuina ràpida, Cuina italiana",Respon a ofertes de llibres,"3 consultes a restaurants, 4 consultes a botigues"
2786,Eladio Mate,22,M,Altres,"Moda, Perfumeria",Segueix suggeriments personalitzats,"1 consulta a cafeteries, 5 consultes a botigues"
2787,Micaela Morera,25,F,Turisme,"Productes naturals, Mediterrània",Només consulta horaris i ubicacions,"3 consultes a restaurants, 4 consultes a botigues, 5 consultes a llibres"
2788,Damián Salazar,34,M,Família,Productes naturals,Ignora promocions,5 consultes a cafeteries
2789,Jonatan Díez,26,M,Família,"Cuina italiana, Cuina ràpida",Segueix suggeriments personalitzats,1 consulta a restaurants
2790,Camilo Sans,45,M,Família,"Perfumeria, Premsa i llibres",Només consulta horaris i ubicacions,"5 consultes a llibres, 5 consultes a restaurants, 3 consultes a vehicles"
2791,Pablo Jaume,54,M,Família,Premsa i llibres,Només consulta horaris i ubicacions,"1 consulta a cafeteries, 1 consulta a llibres"
2792,Margarita Martinez,24,F,Altres,"Cafeteria, Cuina italiana, Productes naturals",Segueix suggeriments personalitzats,"5 consultes a cafeteries, 2 consultes a botigues, 3 consultes a llibres"
2793,Amor Arroyo,41,M,Altres,"Productes naturals, Premsa i llibres",Respon a ofertes de llibres,5 consultes a botigues
2794,Roque Mur,63,M,Negocis,Mediterrània,Ignora promocions,4 consultes a botigues
2795,Tito Redondo,75,M,Turisme,"Mediterrània, Productes naturals",Respon a ofertes de llibres,"1 consulta a botigues, 3 consultes a restaurants, 5 consultes a llibres"
2796,Encarnación Matas,31,F,Negocis,"Premsa i llibres, Productes naturals, Perfumeria",Ignora promocions,"4 consultes a botigues, 5 consultes a vehicles, 3 consultes a restaurants"
2797,Estela Balaguer,61,F,Turisme,"Productes naturals, Moda",Accepta ofertes de menjar,"3 consultes a botigues, 4 consultes a restaurants"
2798,Severo Cortés,75,M,Turisme,"Mediterrània, Cuina ràpida",Segueix suggeriments personalitzats,"3 consultes a llibres, 5 consultes a botigues"
2799,Ildefonso García,69,M,Negocis,"Cafeteria, Perfumeria, Premsa i llibres",Respon a ofertes de llibres,"3 consultes a llibres, 4 consultes a botigues, 5 consultes a vehicles"
2800,Margarita Piquer,42,F,Negocis,"Mediterrània, Perfumeria, Cuina ràpida",Ignora promocions,"5 consultes a restaurants, 1 consulta a vehicles, 3 consultes a botigues"
2801,Raúl Ponce,29,M,Altres,"Mediterrània, Cuina ràpida, Cafeteria",Respon a ofertes de llibres,5 consultes a restaurants
2802,Clotilde Carnero,69,F,Família,"Productes naturals, Perfumeria, Mediterrània",Respon a ofertes de llibres,"3 consultes a llibres, 5 consultes a vehicles"
2803,Cosme Arnau,35,M,Altres,Cafeteria,Respon a ofertes de llibres,"2 consultes a restaurants, 3 consultes a llibres, 3 consultes a cafeteries"
2804,Claudia Espinosa,69,F,Negocis,Cuina italiana,Accepta ofertes de menjar,"4 consultes a botigues, 3 consultes a llibres"
2805,Ruperto Ruiz,39,M,Turisme,"Premsa i llibres, Cuina ràpida, Productes naturals",Ignora promocions,3 consultes a llibres
2806,Macario Posada,72,M,Negocis,Productes naturals,Ignora promocions,"4 consultes a llibres, 3 consultes a botigues"
2807,José María Lobo,52,M,Negocis,"Cuina ràpida, Mediterrània",Només consulta horaris i ubicacions,"5 consultes a cafeteries, 1 consulta a botigues"
2808,Antonia Gual,37,F,Família,"Cuina ràpida, Mediterrània, Perfumeria",Segueix suggeriments personalitzats,"2 consultes a cafeteries, 3 consultes a botigues"
2809,María Manuela Valdés,29,F,Negocis,"Cafeteria, Premsa i llibres",Només consulta horaris i ubicacions,3 consultes a restaurants
2810,Consuela Monreal,41,F,Família,Premsa i llibres,Segueix suggeriments personalitzats,5 consultes a llibres
2811,Calixta Paredes,60,F,Turisme,"Productes naturals, Premsa i llibres",Accepta ofertes de menjar,4 consultes a cafeteries
2812,Juan Valls,22,M,Altres,Cafeteria,Només consulta horaris i ubicacions,2 consultes a llibres
2813,Raimundo Barrio,73,M,Turisme,"Productes naturals, Perfumeria",Només consulta horaris i ubicacions,"3 consultes a cafeteries, 5 consultes a restaurants"
2814,Carla Barberá,64,F,Negocis,Moda,Segueix suggeriments personalitzats,4 consultes a cafeteries
2815,Moisés Abad,24,M,Altres,"Cuina ràpida, Perfumeria, Moda",Segueix suggeriments personalitzats,"2 consultes a restaurants, 4 consultes a cafeteries"
2816,Delfina Fiol,66,F,Turisme,Cuina ràpida,Només consulta horaris i ubicacions,"5 consultes a botigues, 5 consultes a vehicles, 5 consultes a cafeteries"
2817,Camilo Arce,39,M,Altres,"Perfumeria, Mediterrània",Accepta ofertes de menjar,"2 consultes a cafeteries, 5 consultes a vehicles, 3 consultes a botigues"
2818,Carmela Roldan,62,F,Família,"Cuina ràpida, Mediterrània, Cuina italiana",Respon a ofertes de llibres,5 consultes a vehicles
2819,Ale Montes,53,F,Turisme,Cuina ràpida,Només consulta horaris i ubicacions,5 consultes a llibres
